date,id,pdf,pm,release_type,subjects,title
2002-03-20,12584,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTER  THE HON JOHN HOWARD MP  JOINT PRESS CONFERENCE WITH THE RIGHT HONOURABLE   JACK STRAW MP, SECRETARY OF STATE FOR FOREIGN AND COMMONWEALTH AFFAIRS - LONDON"
2014-11-18,23981,,"Abbott, Tony",Media Release,,Prime Minister's Joint Press Statement with the Prime Minister of the Republic of India
1995-02-22,9491,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009491.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER, THE HON P.J.KEATING, MP JOBSBACK II - A THING OF THE PAST"
1993-09-08,8957,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008957.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER, THE HON PJ KEATING, MP NEW NATIONAL PRESIDENT OF THE RSL"
2006-06-09,22321,,"Howard, John",Speech,,"Address to Community Dinner Marconi Club, Western Sydney"
2015-08-29,24750,,"Abbott, Tony",Transcript,"Restoring the Cumberland Corridor,  Australian Border Force.","Joint Doorstop Interview, Oxley Park"
1963-03-24,711,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000711.pdf,"Menzies, Robert",Speech,,"OPENING OF DOMINICAN SISTERS TRAINING COLLEGE AT WATSON, CANBERRA, ACT ON SUNDAY 24TH MARCH 1963 - SPEECH BY THE PRIME MINISTER, THE RT. HON. SIR ROBERT MENZIES"
2003-03-29,20536,,"Howard, John",Speech,,Address to Victorian State Council Melbourne
2001-01-22,11933,,"Howard, John",Interview,,"Interview with Steve Leibmann, Today Show"
2008-08-25,16084,,"Rudd, Kevin",Media Release,,"Australia Supports Training of East Timorese Defence Force, Canberra"
2005-02-24,21628,,"Howard, John",Interview,,"Interview with Paul Murray Radio 6PR, Perth"
1975-06-27,3802,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003802.pdf,"Whitlam, Gough",Speech,,"SPEECH BY THE PRIME MINISTER, THE HON EG WHITLAM QC MP, AT THE OPENING OF THE MEETING OF THE CAPITAL CITY LORD MAYORS, 27 JUNE 1975, AT THE TOWN HALL, CITY OF SYDNEY"
2001-05-21,11927,,"Howard, John",Interview,,"Joint Press Conference with Minister Joe Hockey Parliament House, Canberra"
2008-08-27,16090,,"Rudd, Kevin",Interview,,"Questions and Answers, National Press Club, Canberra"
1975-07-08,3816,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003816.pdf,"Whitlam, Gough",Speech,,"SPEECH BY THE PRIME MINISTER, THE HON EG WHITLAM QC MP, AT THE OPENING OF THE NEW PRINCIPAL OFFICE IN VICTORIA OF THE COMMONWEALTH BANKING CORPORATION, MELBOURNE, 8 JULY 1975"
1995-02-17,9485,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009485.pdf,"Keating, Paul",Speech,,"TRANSCRIPT OF THE PRIME MINISTER, THE HON P.J.KEATING MP ADDRESS AT THE PEARCE RAAF BASE, PERTH, 17 FEBRUARY 1995"
1993-08-24,8943,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008943.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER, THE HON PJ KEATING, MP TIMETABLE MABO LEGISLATION"
2007-07-10,15599,,"Howard, John",Interview,,"Joint Press Conference with the Minister for Families, Community Services and Indigenous Affairs, The Hon Mal Brough MP,  Phillip Street, Sydney"
2006-06-21,22335,,"Howard, John",Media Release,,Offshore Processing
1963-03-16,705,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000705.pdf,"Menzies, Robert",Index,,WEEK ENDING 16. 1963  INDEX OF MINISTERIAL STATEMENTS ISSUED IN CANBERRA
2015-08-27,24744,,"Abbott, Tony",Transcript,"Parliamentary Friendship Groups,  Syria,  Daesh death cult,  Prime Minister’s visit to Cape York.","Interview with Lisa Wilkinson, Today, Nine Network"
1968-12-14,1967,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001967.pdf,"Gorton, John",Interview,,"FOUR CORNERS INTERVIEW WITH THE PRIME MINISTER, THE RIGHT HON. J.G. GORTON"
2014-12-02,24022,,"Abbott, Tony",Transcript,"The Government’s achievements,  Budget 2014,  Kmart Wishing Tree.","Interview with Karl Stefanovic, Today, Nine Network"
2006-09-03,22453,,"Howard, John",Speech,,"Coaltion Queensland Election Campaign Launch Sofitel Hotel, Brisbane"
2002-10-20,12590,,"Howard, John",Interview,Bali; war against terror; Cunningham by-election; APEC.,"Interview with Laurie Oakes, Sunday Program, Channel 9"
