date,id,pdf,pm,release_type,subjects,title
1981-03-23,5546,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005546.pdf,"Fraser, Malcolm",Media Release,,PRINCE CHARLES' WEDDING
1970-05-19,2229,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002229.pdf,"Gorton, John",Speech,,"LUNCHEON IN HONOUR OF THE PRIME MINISTER OF CANADA, MR P TRUDEAU, AT PARLIAMENT HOUSE, CANBERRA, 19 MAY 1970 - SPEECH BY THE PRIME MINISTER, MR JOHN GORTON"
1978-11-06,4880,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004880.pdf,"Fraser, Malcolm",Interview,,"INTERVIEW WITH RADIO STATION 3XY, 6 NOVEMBER 1978"
2009-08-22,16769,,"Rudd, Kevin",Media Release,,Australia-New Zealand Inaugural Joint Cabinet Meeting
2007-04-09,15260,,"Howard, John",Speech,,Weekly Radio Message - Economic Management
1967-11-17,1720,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001720.pdf,"Holt, Harold",Broadcast,,SENATE ELECTION 1967 - NATIONAL BROADCAST BY THE PRIME MINISTER MR HAROLD HOLD - FRIDAY 17TH NOVEMBER 1967
1988-07-06,7351,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007351.pdf,"Hawke, Robert",Media Release,,MESSAGE FOR THE BICENTENNIAL PROFESSIONAL ENGINEERS WEEK 1988
1990-07-20,8062,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008062.pdf,"Hawke, Robert",Interview,,"TRANSCRIPT OF INTERVIEW WITH VINCENT SMITH, RADIO 5AA 20 JULY, 1990"
2007-06-12,15274,,"Howard, John",Speech,,Weekly Radio Message - Petrol Prices
1967-12-07,1734,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001734.pdf,"Holt, Harold",Media Release,,"FOR PRESS: PM. NO. 133/1967 - VISIT BY THE PRIME MINISTER OF INDIA - STATEMENT BY THE PRIME MINISTER, MR HAROLD HOLT"
1994-09-29,9368,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009368.pdf,"Keating, Paul",Press Conference,,"TRANSCRIPT OF THE PRIME MINISTER, THE HON P J KEATING, MP ALP NATIONAL CONFERENCE, HOBART, TASMANIA 29 SEPTEMBER, 1994"
1988-06-28,7345,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007345.pdf,"Hawke, Robert",Media Release,,UNKNOWN
1990-08-10,8076,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008076.pdf,"Hawke, Robert",Press Conference,,"TRANSCRIPT OF NEWS CONFERENCE, PARLIAMENT HOUSE, 10 AUGUST 1990"
1972-12-27,3123,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003123.pdf,"Whitlam, Gough",Media Release,,DEATH OF FORMER PRESIDENT TRUMAN
2012-08-16,18750,,"Gillard, Julia",Interview,,"Transcript of joint press conference, Canberra"
2010-11-07,17463,,"Gillard, Julia",Economy & Finance,,"Interview with Laurie Oakes, Today Show"
2018-05-11,41625,,"Turnbull, Malcolm",Media Release,,Malaysia Elections
1999-03-12,11012,,"Howard, John",Interview,,TRANSCRIPT OF THE PRIME MINISTER                   THE                   HON JOHN HOWARD MP                 RADIO INTERVIEW WITH NEIL MITCHELL (3AW)
2013-01-11,18988,,"Gillard, Julia",Video Transcript,,Transcript of Joint Press Conference
1981-03-25,5552,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005552.pdf,"Fraser, Malcolm",Media Release,,SUMMARY OF ABC'S 12:30 PM NEWS
1978-11-19,4894,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004894.pdf,"Fraser, Malcolm",Media Release,,ELECTORATE TALK
2013-05-08,19328,,"Gillard, Julia",Video Transcript,,Transcript of Doorstop Interview
2001-03-11,11774,,"Howard, John",Interview,,"Opening of the Australian National Museum Doorstop, Canberra"
1980-01-14,5234,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005234.pdf,"Fraser, Malcolm",Speech,,ADDRESS TO THE NATIONAL CONVENTION OF THE YOUNG LIBERAL MOVEMENT OF AUSTRALIA
2017-08-30,41143,,"Turnbull, Malcolm",Transcript,,Remarks at Energy Retailers Meeting
1975-03-09,3645,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003645.pdf,"Whitlam, Gough",Speech,,"STATEMENT BY THE PRIME MINISTER, THE HON EG WHITLAM QC MP, AUSTRALIAN LABOR PARTY ZONE 1 CONFERENCE, LANE COVE TOWN HALL, SUNDAY 9 MARCH 1975 - THE POLITICS OF MEDIBANK"
2011-07-26,18036,,"Gillard, Julia",Media Release,,Vale Margaret Olley AC
2010-05-21,17305,,"Rudd, Kevin",Interview,,Prime Minister Transcript of remarks - RSPCA Million Paws Walk Canberra 16 May 2010
1988-10-15,7423,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007423.pdf,"Hawke, Robert",Speech,,1988 Boyer Lecture
1992-10-30,8710,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008710.pdf,"Keating, Paul",Speech,,ADDRESS BY THE PRIME MINISTER THE HON P J KEATING MP FORUM ON THE NATIONAL STRATEGY ON VIOLENCE AGAINST WOMEN PARILAMENT HOUSE
2007-06-27,15512,,"Howard, John",Media Release,,Amberley State School
1965-02-03,1052,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001052.pdf,"Menzies, Robert",Media Release,,"FOR PRESS: PM 12/1965 - FURTHER AUSTRALIAN MILITARY ASSISTANCE FOR THE DEFENCE OF MALAYSIA - STATEMENT BY THE ACTING PRIME MINISTER,THE RT. HON. J MCEWEN"
1964-07-10,956,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000956.pdf,"Menzies, Robert",Speech,,"PRESENTATION TO THE PRIME MINISTER, SIR ROBERT MENZIES, BY THE INSTITUTE OF BUILDERS AT THE GROCERS' HALL, LONDON"
2008-07-26,16033,,"Rudd, Kevin",Speech,,"Address at the Opening of the  Nambour RSL Wall of Remembrance, Nambour"
1972-04-30,2573,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002573.pdf,"McMahon, William",Media Release,,"GOVERNOR-GENERAL TO VISIT BRITAIN - STATEMENT BY THE PRIME MINISTER, THE RT HON WILLIAM MCMAHON CH MP"
2013-05-03,19300,,"Gillard, Julia",Media Release,,2013 Defence White Paper: Sustaining And Strengthening Strategic Reform
2016-04-08,40275,,"Turnbull, Malcolm",Transcript,,"Interview with Neil Mitchell, Melbourne"
1976-04-23,4102,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004102.pdf,"Fraser, Malcolm",Media Release,,APPOINTMENT OF THE GOVERNIOR-GENERAL AS KNIGHT GRAND CROSS IN THE ORDER OF SAINT MICHAEL AND SAINT GEORGE
2005-08-01,21847,,"Howard, John",Speech,,"Address to the AFL Indigenous Team of the Century lunch Crown Palladium, Melbourne"
1997-08-07,10442,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010442.pdf,"Howard, John",Media Release,,STATEMENT ON THREDBO TRAGEDY
2003-03-10,20581,,"Howard, John",Media Release,,Commonwealth Day
2001-03-26,11984,,,Interview,,
2013-11-13,23088,,"Abbott, Tony",Transcript,"the Federal Government’s commitment to repeal the carbon tax,  Labor’s debt legacy,  Operation Sovereign Borders,  Indonesia.","Interview with Leigh Sales, 7.30, ABC Television"
1992-11-21,8738,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008738.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER, THE HON PJ KEATING, MP URUGUAY ROUND BREAKTHROUGH"
2001-12-31,12255,,"Howard, John",Media Release,,NEW YEAR MESSAGE
1994-11-20,9426,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009426.pdf,"Keating, Paul",Interview,,"INTV PAUL KEATING, PRIME MINISTER"
1985-09-06,6715,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006715.pdf,"Hawke, Robert",Speech,,"AUSTRALIAN BICENTENNIAL EXHIBITION, MELBOURNE, 6 SEPTEMBER 1985"
2006-08-01,22396,,"Howard, John",Media Release,,Australian Government Protects Jezzine Barracks For Townsville Community
2002-08-17,12533,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTER  THE HON JOHN HOWARD MP  DOORSTOP INTERVIEW, FORUM SECRETARIAT, SUVA"
1994-08-29,9340,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009340.pdf,"Keating, Paul",Interview,,"TRANSCRIPT OF THE PRIME MINISTER, THE HON P J KEATING, MP SYDNEY AIRPORT MONDAY 29 AUGUST,1994"
1983-03-30,6073,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006073.pdf,"Hawke, Robert",Media Release,,UNKNOWN
2014-11-06,23936,,"Abbott, Tony",Transcript,,"Joint Press Conference with Prime Minister Rutte, Parliament House"
2014-12-19,24081,,"Abbott, Tony",Media Release,,Cairns Tragedy
2012-09-03,18778,,"Gillard, Julia",Video Transcript,,National Press Club Q&A
1978-04-02,4664,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004664.pdf,"Fraser, Malcolm",Media Release,,ELECTORATE TALK
1997-05-01,10324,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010324.pdf,"Howard, John",Press Conference,,TRANSCRIPT OF THE PRIME MINISTER THE HON. JOHN HOWARD MP PRESS CONFERENCE - SYDNEY - FOLLOWING GOVERNMENT BACKBENCH ABORIGINAL AFFAIRS COMMITTEE MEETING
2016-10-17,40513,,"Turnbull, Malcolm",Media Release,,COAG Summit to address violence against women and their children
2009-08-14,16755,,"Rudd, Kevin",Interview,,"Interview with Neil Mitchell, 3AW, Melbourne"
1970-04-12,2215,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002215.pdf,"Gorton, John",Media Release,,VISIT BY CANADIAN PRIME MINISTER
2018-05-09,41619,,"Turnbull, Malcolm",Transcript,Federal Budget; Iran nuclear agreement; North Korea,"Interview with Kieran Gilbert, Sky News"
1978-04-06,4670,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004670.pdf,"Fraser, Malcolm",Media Release,,"VISIT OF PRESIDENT SCHEEL, 6 APRIL 1978"
2010-01-19,16999,,"Rudd, Kevin",Speech,,Prime Minister Building Australia's future: A sustainable budget for an ageing population Speech to Australia Day reception Tasmanian Museum and Art Gallery Hobart
1997-05-06,10330,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010330.pdf,"Howard, John",Interview,,TRANSCRIPT OF THE PRIME MINISTER THE HON. JOHN HOWARD MP RADIO INTERVIEW - AM PROGRAMME WITH FRAN KELLY
2016-10-14,40507,,"Turnbull, Malcolm",Media Release,,Selection of new UN Secretary-General
2009-08-10,16741,,"Rudd, Kevin",Chat Transcript,,"Climate Change Webchat 9.30am, 10 August 2009"
1970-03-25,2201,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002201.pdf,"Gorton, John",Interview,,"PRESS, RADIO AND TV CONFERENCE GIVEN BY THE PRIME MINISTER, MR JOHN GORTON, AT PARLIAMENT HOUSE, CANBERRA ACT 25 MARCH 1970"
1967-11-02,1708,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001708.pdf,"Holt, Harold",Statement in Parliament,,"STATEMENT BY THE PRIME MINISTER THE RT. HON. HAROLD HOLT, CH, MP, IN THE HOUSE OF REPRESENTATIVES - 2ND NOVEMBER 1967 - FUTURE PROGRAMME OF BEEF ROAD DEVELOPMENT IN THE NORTH"
2007-02-05,15248,,"Howard, John",Speech,,Weekly Radio Message - Climate Change
1994-09-09,9354,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009354.pdf,"Keating, Paul",Media Release,,"Visit to Australia by the Prime Minister of Papua New Guinea, Sir Julius Chan GCMG KBE MP, 13-14 September 1994"
2002-07-16,12527,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTER  THE HON JOHN HOWARD MP  RADIO INTERVIEW WITH ALAN JONES, 2GB"
2014-10-30,23922,,"Abbott, Tony",Media Release,,Secretary of the Department of the Prime Minister and Cabinet
1983-03-28,6067,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006067.pdf,"Hawke, Robert",Media Release,,UNKNOWN
2015-01-01,24095,,"Abbott, Tony",,,New Year Message
1988-08-17,7379,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007379.pdf,"Hawke, Robert",Media Release,,UNKNOWN
1994-11-25,9432,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009432.pdf,"Keating, Paul",Interview,,"TRANSCRIPT OF THE PRIME MINISTER, THE HON P.J.KEATING MP DOORSTOP, EPAC NATIONAL STRATEGIES CONFERENCE, CONVENTION CENTRE, SYDNEY, 25 NOVEMBER 1994"
2001-04-03,12241,,"Howard, John",Media Release,,New Fellowships Back Australia's Research Ability and Bring Top Researchers Home
1985-08-21,6701,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006701.pdf,"Hawke, Robert",Speech,,"SPEECH BY THE PRIME MINISTER, FINANCIAL REVIEW DINNER, SYDNEY, 21 AUGUST 1985"
2006-07-26,22382,,"Howard, John",Interview,,"Doorstop Interview Upwey-Belgrave RSL, Upwey"
2008-07-22,16027,,"Rudd, Kevin",Media Release,,"Joint Media Release with the Treasurer, Wayne Swan, Prime Minister and Treasurer meet with Australian Banking Industry."
2013-05-03,19314,,"Gillard, Julia",Video Transcript,,Transcript of Joint Press Conference
1972-04-23,2567,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002567.pdf,"McMahon, William",Speech,,"TWENTY-FOURTH ANNIVERSARY OF THE STATE OF ISRAEL MEETING - MELBOURNE - 23 APRIL 1972 - SPEECH BY THE PRIME MINSTER, THE RT HON WILLIAM MCMAHON CH MP"
1979-12-04,5208,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005208.pdf,"Fraser, Malcolm",Press Conference,,"PRESS CONFERENCE, 4 TREASURY PLACE, MELBOURNE"
2016-03-29,40261,,"Turnbull, Malcolm",Transcript,,Holsworthy Barracks
2001-11-01,11748,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTERTHE HON JOHN HOWARD MPDOORSTOP INTERVIEW, HOBART"
2005-08-03,21853,,"Howard, John",Speech,,"Address to the Whyalla Community Afternoon Tea Whyalla Football Clubrooms, Whyalla"
1976-05-11,4116,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004116.pdf,"Fraser, Malcolm",Media Release,,PRIME MINISTER'S VISIT TO JAPAN
1997-08-23,10456,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010456.pdf,"Howard, John",Press Conference,,"Press Conference with Premier of SA John Olsen and NT Chief Minister, Shane Stone"
2010-06-09,17339,,"Rudd, Kevin",Media Release,,Prime Minister Treasurer Minister for Infrastructure $6 billion regional infrastructure fund 9 June 2010
2003-04-21,20595,,"Howard, John",Media Release,,Centenary Medal
2001-08-27,11990,,"Howard, John",Interview,,"Television Interview wtih Fran Kelly, 7:30 Report"
1975-04-04,3679,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003679.pdf,"Whitlam, Gough",Media Release,,VIETNAM ORPHANS - FURTHER REPLIES FROM PREMIERS
1977-09-23,4499,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004499.pdf,"Fraser, Malcolm",Media Release,,"BEEF, SUGAR TALKS - 23 SEPTEMBER 1977"
2017-05-05,40936,,"Turnbull, Malcolm",Transcript,,Doorstop - New York City
2012-05-19,18585,,"Gillard, Julia",Interview,,"Transcript of doorstop interview, Chicago"
2004-06-03,21304,,"Howard, John",Interview,,"Joint Press Conference with the President of the United States, George W Bush Rose Gardens, White House, Washington DC"
1982-04-03,5787,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005787.pdf,"Fraser, Malcolm",Speech,,OPENING OF THE 17TH NATIONAL HOUSING CONVENTION OF THE HOUSING INDUSTRY ASSOCIATION
2002-07-16,12916,,"Howard, John",Speech,,TRANSCRIPT OF THE PRIME MINISTER  THE HON JOHN HOWARD MP  ADDRESS AT THE ASTON ELECTORATE DINNER   MELBOURNE
2014-05-21,23513,,"Abbott, Tony",Transcript,Budget 2014.,"Interview with Paul Murray, Radio 6PR"
1987-06-25,7190,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007190.pdf,"Hawke, Robert",Speech,,SPEECH BY THE PRIME MINISTER RURAL POLICY LAUNCH BUNDABERG - 25 JUNE 1987
1995-10-20,9803,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009803.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER, THE HON P J KEATING, MP SUPERANNUATION APPOINTMENT - THE HON CON SCIACCA, MP"
2014-02-22,23275,,"Abbott, Tony",Transcript,"Tas Live Abalone,  Tasmanian state election,  NBN,  AFP,  Royal Commission into the Home Insulation Programme,  Qantas.","Joint Press Conference with Will Hodgman MP, Hobart"
1966-04-05,1287,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001287.pdf,"Holt, Harold",Media Release,,"FOR PRESS:  P.M. NO 34/1966  NEW COMMONWEALTH LOAN FOR BRIGALOW SCHEME STATEMENT BY THE PRIME MINISTER, MR. HAROLD HOLT"
2015-11-24,40088,,"Turnbull, Malcolm",Transcript,Paris; ISIL; Russian airliner; intelligence; threat advisory system; counter-terrorism; multiculturalism,National Security Statement
2004-08-16,21462,,"Howard, John",Media Release,,Claims by Mr Mike Scrafton
1998-07-31,10867,,"Howard, John",Media Release,,AUSTRALIAN FIRE SERVICE MEDAL            ANTARCTIC MEDAL
1974-11-27,3490,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003490.pdf,"Whitlam, Gough",Media Release,,PAYMENT TO LOCAL GOVERNMENT AUTHORITIES
2018-01-01,41396,,"Turnbull, Malcolm",Media Release,,$3 million to save lives in the water
1973-06-19,2956,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002956.pdf,"Whitlam, Gough",Press Conference,,"THE PRIME MINISTER'S PRESS CONFERENCE, PARLIAMENT HOUSE, CANBERRA, TUESDAY 19 JUNE 1973"
2004-08-20,21476,,"Howard, John",Interview,,"Doorstop Interview, Adelaide"
1998-08-06,10873,,"Howard, John",Media Release,,AUSTRALIAN HEALTH CARE AGREEMENTS
2003-04-08,20768,,"Howard, John",Speech,,"Address to Business Women's Afternoon Tea, The Gardener's"
1974-11-24,3484,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003484_0.pdf,"Whitlam, Gough",Speech,,"STATEMENT BY THE PRIME MINISTER AT CAIRNS AND MAREEBA, QLD 24 NOVEMBER 1974"
2017-12-13,41382,,"Turnbull, Malcolm",Media Release,,Congestion busting NorthConnex breaks through
1973-05-31,2942,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002942.pdf,"Whitlam, Gough",Media Release,,RELATIONS WITH VENEZUELA
1995-10-28,9817,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009817.pdf,"Keating, Paul",Media Release,,THE THIRD FRENCH NUCLEAR TEST
2014-02-17,23261,,"Abbott, Tony",Speech,,"Remarks at Mount Gipps Station, Broken Hill"
1966-04-21,1293,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001293.pdf,"Holt, Harold",Press Conference,,"PRESS CONFERENCE GIVEN BY THE PRIME MINISTER MR. HAROLD HOLT,FOR MEMBERS OF THE PARLIAMENTARY PRESS GALLERY. AT PARLIAMENT HOUSE, CANBERRA. 21ST APRIL 1966"
2006-12-06,22619,,"Howard, John",Interview,,"Joint Press Conference with His Excellency Mr Roh Moo-hyun President of the Republic of Korea Parliament House, Canberra"
2002-04-12,12902,,"Howard, John",Speech,,TRANSCRIPT OF THE PRIME MINISTER  THE HON JOHN HOWARD MP  ADDRESS TO FEDERAL WOMEN'S FORUM   LIBERAL PARTY FEDERAL COUNCIL
1960-10-19,229,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000229.pdf,"Menzies, Robert",Press Conference,,"DUTCH WEST NEW GUINEA WORLD SITUATION - SUMMIT - UNITED NATIONS, MR. KHRUSHCHEV, MR. NEHRU AT U.N. P.M. AT U.N. MR. K. - FOUR POWER CONFERENCE? P.M. AS ""FALL GUY"" SUMMIT MEETING."
1987-06-17,7184,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007184.pdf,"Hawke, Robert",Speech,,LAUNCH OF ENVIRONMENT BOOKLET DAINTREE - 17 JUNE 1987
2017-05-02,40922,,"Turnbull, Malcolm",Media Release,,Turnbull Government to Build Western Sydney Airport
2012-05-20,18591,,"Gillard, Julia",Speech,,"Remarks at the signing of the Comprehensive Long-Term Partnership Between Australia and Afghanistan, Chicago"
2004-06-06,21310,,"Howard, John",Interview,,"Doorstop Interview, London"
1982-04-14,5793,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005793.pdf,"Fraser, Malcolm",Interview,,"INTERVIEW WITH JUNE BARTON, MORNING TEA"
1994-04-07,9181,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009181.pdf,"Keating, Paul",Interview,,"TRANSCRIPT OF THE PRIME MINISTER THE HON PJ KEATING MP DOORSTOP, ORIENTAL HOTEL,BANGKOK, THURSDAY, 7 APRIL 1994"
2006-12-13,22631,,"Howard, John",Interview,,"Interview with Nick McCallum Radio 3AW, Melbourne"
2015-02-28,24240,,"Abbott, Tony",Media Release,,Joint statement by Prime Minister Abbott and Prime Minister Key
1960-08-09,201,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000201.pdf,"Menzies, Robert",Media Release,,AUSTRALIAN NATIONAL UNIVERSITY ACT
1982-11-11,5963,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005963.pdf,"Fraser, Malcolm",Media Release,,DEATH OF MR BREZHNEV
2009-05-28,16594,,"Rudd, Kevin",Media Release,,Two additional Local Employment Coordinators to be appointed
2004-06-25,21338,,"Howard, John",Interview,,"Interview with David Speers, Sky News"
2011-05-11,17852,,"Gillard, Julia",Interview,,"Transcript of interview with Chris Uhlmann, The 7.30 Report"
2003-11-11,20998,,"Howard, John",Interview,,"Joint Press Conference with British Prime Minister Tony Blair 10 Downing Street, London"
2003-03-19,20740,,"Howard, John",Interview,,"Interview with Jon Faine, Radio 3LO, Melbourne"
1998-04-17,10683,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTER                THE HON JOHN HOWARD MP                 DOORSTOP INTERVIEW - MAITLAND, NSW"
2008-05-21,15923,,"Rudd, Kevin",Media Release,,"Joint Media Release with Deputy Prime Minister, the Hon Julia Gillard MP - Australia Social Inclusion Board"
2015-06-11,24526,,"Abbott, Tony",Transcript,"Regional Countering Violent Extremism Summit,  Daesh Death Cult,  housing affordability,  Superannuation,  Bill Shorten’s plan to raid your super piggy bank,  Renewable Energy Target,  Senate Select Committee on Wind Turbines,  Royal Commission into Trade Unions","Interview with Alan Jones, Radio 2GB, Sydney"
1962-07-27,567,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000567.pdf,"Menzies, Robert",Letter,,MINISTER FOR AIR
2014-02-14,23249,,"Abbott, Tony",Transcript,"Employment figures,  SPC Ardmona,  Medibank Private,  hospital funding,  Qantas,  Operation Sovereign Borders,  tragic death of Luke Batty,  pharmacies.","Interview with Neil Mitchell, Radio 3AW, Melbourne"
2006-03-05,22157,,"Howard, John",Interview,,"Doorstop Interview Taj Mahal Hotel, Delhi"
1989-11-16,7812,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007812.pdf,"Hawke, Robert",Media Release,,UNKNOWN
2001-11-07,12094,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTERTHE HON JOHN HOWARD MPINTERVIEW WITH AMANDA AND MATT, FOX FM 101.9, MELBOURNE"
2008-05-28,15937,,"Rudd, Kevin",Interview,,"Joint Press Conference with Deputy Prime Minister, Julia Gillard, Canberra"
1962-07-30,573,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000573.pdf,"Menzies, Robert",Media Release,,"PRESS RELEASE :  TATE GALLERY SHOW IN  PERTH STATEMENT BY THE PRIME MINISTER , THE RT. HON. R.G MENSIES"
1989-11-13,7806,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007806.pdf,"Hawke, Robert",Speech,,SPEECH BY THE PRIME MINISTER WITH COMMENWEALTH HEALTH MINISTERS MEETING MELBURNE - 13 NOVEMBER 1989
2006-02-27,22143,,"Howard, John",Interview,,"Interview with John Laws Radio 2UE, Sydney"
2001-12-07,12080,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTERTHE HON JOHN HOWARD MPRADIO INTERVIEW WITH NEIL MITCHELL, 3AW"
2000-02-24,11589,,"Howard, John",Media Release,,PENINGTON&#146;S CLAIM IS WRONG
2003-04-24,20754,,"Howard, John",Interview,,"Interview with Jeremy Cordeaux, Radio 5DN"
1998-08-18,10697,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTER                  THE HON JOHN HOWARD MP                  RADIO INTERVIEW WITH DAVE HARRISON                RADIO 4TO, TOWNSVILLE"
1982-12-13,5977,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005977.pdf,"Fraser, Malcolm",Media Release,,WAGES PAUSE
2009-05-21,16580,,"Rudd, Kevin",Interview,,Interview with Simon Beaumont  Radio 6PR - Perth
2011-05-07,17846,,"Gillard, Julia",Interview,,"Transcript of joint press conference, Canberra"
1994-04-15,9195,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009195.pdf,"Keating, Paul",Media Release,,STATEMENT BY THE PRIME MINISTER THE HON PJ KEATING MP URUGUAY ROUND
2006-12-11,22625,,"Howard, John",Speech,,Weekly Radio Message
1960-09-13,215,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000215.pdf,"Menzies, Robert",Media Release,,"CHAIRMAN OF COMMONWEALTH GRANTS COMMISION - STATEMENT BY THE PRIME MINISTER, THE RT. HON. R.G. MENZIES"
1997-02-27,8260,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008260.pdf,"Hawke, Robert",Speech,,SPEECH BY THE PRIME MINISTER WORKPLACE AUSTRALIA CONFERNCE MELBOURNE - 27 FEBRUARY 1991
1987-04-02,7153,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007153.pdf,"Hawke, Robert",Interview,,TRANSCRIPT OF INTERVIEW ON 11.00AM PAUL LYNEHAM THURSDAY 2 APRIL 1987
2000-06-30,22816,,"Howard, John",Speech,,Address at the Wintercare Gala Luncheon -  ‘Impressions of Winter’ (Anglicare's June Appeal)
1967-03-13,1522,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001522_0.pdf,"Holt, Harold",Speech,,"OIL, GAS AND NATIONAL DEVELOPMENT - THIS PAPER IS AN ABRIDGED VERSION OF THE SPEECH BY THE PRIME MINISTER, THE RT. HON. HAROLD HOLT, MP TO A CONFERENCE OF THE AUSTRALIAN PETROLEUM EXPLORATION ASSOCIATION IN SYDNEY ON MONDAY, 13TH MARCH 1967"
1982-02-01,5744,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005744.pdf,"Fraser, Malcolm",Media Release,,AUSTRALIA PARTICIPATION IN THE SINAI PEACEKEEPING FORCE
1999-05-07,11204,,"Howard, John",Interview,,TRANSCRIPT OF THE PRIME MINISTER                   THE HON JOHN HOWARD MP                   INTERVIEW WITH NEIL MITCHELL &#150; RADIO 3AW
2018-02-01,41433,,"Turnbull, Malcolm",Speech,,"Keynote Address - Toowoomba, Queensland"
2011-02-15,17675,,"Gillard, Julia",Speech,,"Trans-Tasman Business Circle Luncheon, Auckland"
